Accession Number,Date Recorded,Subject,Title
SPW 1502,late 1980s,"Suffolk County antipornography law, obscenity laws, censorship, porn/antiporn sex wars, Feminist Anti-Censorship Taskforce, violence against women, rape, abuse, domestic violence shelters, conservatives, press conference, Women Against Pornography, women of color, testimony, free speech, oppression, capitalism, propaganda, misogyny, child molestation, Born Innocent movie, The Burning Bed movie, Men Against Pornography, Minneapolis and Indianapolis antiporn ordinances, sodomy, sex workers' rights, women being forced or coerced into porn, A Clockwork Orange movie, The Outlaw movie, lawsuit, burden of proof, New York v. Ferber case, sodomy",Porn Sex Wars Debate - Tape 2 of ?
SPW 1503,"Side 1: unkown
Side 2: 2/14/72","Side 1: ""Oh Danny Boy"" song, ""Come to Me, Bend to Me"" song, Coney Island sideshow, ""The Buddy"", food, Russian tea room, travel, Binghampton, slide show, memory, sex, pick-up lines, bars, clubs, peaches bar, disco, dancing, getting seizures, epilepsy or high blood pressure from loud noises or strobe lights in clubs, swearing, Methodists, Eastern Star, Masons, Catholics, reincarnation, deja vu, death, spirits/ghosts, charades - debate over rules and then playing the game Side 2: Unity, teacher, dedication, Teacher book, biography, blindness, childhood, institutionalization, Perkins Institute for the Blind, manual alphabet, surgery, intelligence, language, travel, marriage, college, writing, socialism, pacifism, divorce, poverty, death, family, poorhouse, Forest Hills neighborhood, Braille, God, sacrifice, candle lighting","Side 1: Party/Conversation with Mabel Hampton and others
Side 2: Unity meeting on Annie Sullivan"
SPW 1504,1984-05-31T00:00:00Z,"Side 1: Lesbian Herstory Archives, Lesbian Heritage D.C., Washington, D.C. Area Women's Archives, Frontiers journal, Radical Feminists of Heterodoxy: Greenwich Village, 1912-1940 book, slide show, lesbian history, New Lesbian Writings book, Lesbian Path journal, Lesbian Studies journal, activism, Daughters of Bilitis, National Organization for Women, Lesbian/Woman book, Battered Wives book, grassroots versus mainstream archives - issues of access, safety, censorship, community, interpretation, commitment and funding, S&M, definition of lesbian, censorship, research, West Coast Lesbian Collection (now June L. Mazer Lesbian Collection), closeted historical lesbians, academic heterosexism and homophobia, Sophia Smith Collection, anti-lesbian violence, Smith College Lesbian Alliance, New Alexandra Lesbian Library, Northampton Gay and Lesbian Alliance, Womonfyre Books, phone harassment, Stop Homosexual Unity Now (SHUN), Stonewall Rebellion, pride parades, San Francisco Council on Religion and the Homosexual 1965 legal case (""Stonewall of San Francisco""), West Coast, lavender menace, Bay Area Women's Coalition, 1950s, where the Martin/Lyon papers would be placed, lesbian separatism, In the Life newsletter, LHA newsletter, Lesbian Studies: Some Recent Works bibliography, lesbian history as separate or included in women's history, Life magazine article on Helen Hooven Santmyer, And the Ladies of the Club book, difficulty of lesbian historical research, types of research sources, lesbian nuns, passing women, Hindsight book, Nazi refugee, Love Between Women book, Lesbian Nuns: Breaking Silences book, Medieval English Nunneries book, Sisters of Mercy, Nice Jewish Girls book, older lesbians, computers, suicide, Schlesinger Library, oral history, National Archives, newsreels, Museum of Broadcasting, survival literature, pulp fiction, government spying on women's groups Side 2: Wellesley College, ""America the Beautiful"", church organization, threat of firing if worker comes out, Hyde Park, records management, funding from foundations, leaving donations in wills, maiden names, pseudonyms, other name changes, clearinghouse - sharing between regional archives, importance of saving archival materials, history as healing for lesbians, requirement of tragic endings in survival literature, ban on men in the LHA, restrictions, Gay American History book, International Gay Archives (now ONE National Gay & Lesbian Archives), gay mens' archives, connections between mainstream and grassroots archives, women's college archives, physical preservation of materials, public versus private, Institut fur Sexualwissenschaft (Institute for Sexual Research, German archive burned by Nazis), Vice Versa journal, technology as aid to research, microfilm, preservation of DOB Philadelphia papers, off our backs journal, Lesbian Periodical Indexers, Life of Alice James book, book review, gaps in research questions, Miss Woolley and Miss Marks book","Preserving Women's History Conference: ""Documenting Lesbian History"" Workshop"
SPW 1505,,"libraries, archives, women's history, possibility of a national archival database, standardization in search terms and subject headings, sharing archival resources online, standard search vocabulary, National Historical Publications and Records Commission (NHPRC), Women and Sexuality in America bibliography, directory of archives, Society of American Archivists, National Information Systems Taskforce, Spindex software, grants, Library of Congress, Smithsonian Institution Libraries, finding aids, growth and change of archives, National Union Catalog of Manuscript Collections (NUCMC), women's history specific database, international connections, charging researchers to search database, ease or difficulty of searching different catalogs, Sophia Smith Collection, Schlesinger Library, clearinghouse for women's history, Business and Professional Women's Foundation, Rawalt Research Center, automation, Wellesely College, Women's Action Alliance, Federation of Organizations for Professional Women, BPW thesaurus (creation process), subject headings, keywords, access system, Manuscript Section and Special Materials Cataloging Division of Library of Congress, changes in language, Anglo-American Cataloging Rules (AACR2), Paris Principles, MARC formats, free text searching, race and ethnicity subject headings, lack of change in Library of Congress subject headings, On Equal Terms: A Thesaurus for Nonsexist Indexing and Cataloging, reference librraries, cross-references, card catalog, Lesbian Herstory Archives, biographical files, passing women, specific versus general subject headings, Women's Educational Equity Communications Network (WEECN), oral history, American Library Association, communication between librarians and historians, should researchers be allowed to do their own database searches","Preserving Women's History Conference: ""National Databases"" Workshop"
SPW 1506,,"Side 1: 1930s and 1940s, East Side Kids (movie characters), black lesbians, women of color, first realizing she was gay, first love, crushes, childhood, Rhode Island, New York City, Greenwich Village, clubs, sexuality labels, sex, Harlem, safe sex, long-term relationship, fighting in a couple, tomboy, gender, being mistaken for a boy, bars, men as jealous of lesbians, butch/femme roles, generational change STDs, gay men as more promiscuous, workplace harassment, resources for older gay people, Bagatelle's bar, living in a mostly gay apartment building, Mona's bar, Swing Rendezvous bar, 29 club, women's only bars, diners, swimming pools, being picked up by a gay man who thought she was a man, factory work, drinking, factory injury, drag queens, carpentry shop, lost job because they realized she was a woman, violence, almost being arrested, poor working conditions, World War Two, freak show, mental health, famous people she knew, 182 club Side 2: drugs, cafeteria, jail, dating, break-up, ex-girlfriend, how they met, marriage, O'Henry bar, personal change, family, parents, cancer, Bellevue Hospital, institutionalization, straight jacket, foster homes",Helen and Blacky - Oral History
SPW 1507,1980-04-12T00:00:00Z,"Side 1: women's studies, lesbian short stories, LHA newsletter, Lesbian Herstory Archives, confidential mailing, coming out, colonization, Sea Colony Bar, controversy, 1950s, conference planning issues (homophobia), LHA slide show, political correctness, censorship, difficulties of lesbian research, National Lesbian History Network, Colonizer and the Colonized book, Seek Program at Queens College, memory, deprivation of history, lack of generational connections, fringe lesbians (in prison, passing, in mental institutions), class, pre-movement history, Sex Variants: A Study of Homosexual Patterns book, medical pathologization, mental health, Third World Lesbian Writers' Conference, patriarchy, testimonies from researchers, request for donations, Vice Versa journal, newspapers, Lavender Woman newspaper, Radical Women takeover, finding archival materials in unusual places, Dyke magazine, videos, Word is Out: Stories of Some of Our Lives movie, National Lesbian Photo Drive, tapes, Daughters of Bilitis, The Ladder journal, police raids, bars, butch/femme, Lesbian-Feminist Liberation, Gay Activists Alliance, Old Firehouse, Of Woman Born book, grassroots archives versus mainstream archives, grassroots history, 19th century lesbians, ""Researching Lesbian History"" article, The Autobiography of a Tomboy book, ""America the Beautiful"" song, lesbian-feminist card catalog, archival principles, poetry, copyright, privacy, Lesbian Mothers National Defense Fund, archives as political, class and race diversity, languages, survival literature, Naiad Press, art, posters, Family Woman band, wome's centers, passing women, Lesbian Masquerade book, Buffalo oral history, blue star tattoos Side 2: ""Lesbian Images Pre-1970"", Lesbian Artist Slide Registry, New York Lesbian and Gay Men's History Research Project, archives as nourishing, Frontiers journal, LHEF, difficulties of incorporating, board of regents, philosophy, New French Feminisms book, not allowing men to LHA, lesbians in activist movements, nostalgia for old days, not wanting to assimilate, lesbians as freaks, reclaiming","""Reclaiming Lesbian Herstory"" - LHA Slide Show, Workshop 13, at Scholar and the Feminist Conference VII"
SPW 1508,1976-11-19T00:00:00Z,"Side 1: Daughters of Bilitis, homophile movement, Kansas City meeting, controversy over organizational methods (national or local), North American Conference of Homophile Organizations (NACHO) and DOB meeting (1966, San Francisco), difficulties of gay men and lesbians working together, sexism of gay men towards lesbians, Council on Religion and the Homosexual (CRH), ONE archives, differences between West Coast and East Coast activists, generational change, (non)importance of organizational constitutions, The Ladder journal, feminism, Ordinance 26 (?) in 1969, National Organization for Women, start of NOW and second wave feminism, joining NOW as lesbians, quitting DOB for NOW and CRH, National Sex Quorum (?), citizens alert, Denver DOB convention 1968 - restructuring proposal, NYC DOB convention 1970, issues with control of The Ladder, ONE magazine lawsuit, the closet, ""If That's All There Is"" 1971 manifesto, Willie Brown banquet, San Francisco NACHO conference 1970 Side 2: lesbian demonstration against NACHO (August 26), Gay Liberation Front, invisibility of women in the gay movement, NOW 1971 lesbian resolution, NOW L.A. 1971 conference, lesbians and the women's movement, NOW magazine, political differences between NOW leaders and members, movement progress, student organizatios, CRH candidates night, National Gay Taskforce, The Advocate magazine, D.C. Lesbian Caucus",Del Martin and Phyllis Lyon: Tape 2 of ?
SPW 1509,1988-01-01T00:00:00Z,"Side 1: women of color, stereotypes, internalized homophobia, butch/femme roles as replicating straight roles, divisions in the community, violence against women, lack of societal support for lesbians, leadership, power, importance of coming out, Storme: Lady of the Jewel Box movie, filmmaking as political, transgender people, women's bars, generations, pre-Stonewall, black archive, Jewel Box Revue, drag queens, PBS, college lecture tour, This Bridge Called My Back book, women's studies, Borderlands/La Frontera: The New Mestiza book, Aunt Lute Books, Texas, Mexican, mixed-race/mestiza, borders, contradictions, Heritage series, Chicana, colonization, writing, Sinister Wisdom journal, coalitions among lesbians of different races, isolation from and affiliation with community, Montreal writers' conference, lesbian separatism, allies, NWSA ""Women Respond to Racism"" 1981 conference, racism as a bigger issue than heterosexism, cultural separatism versus coalitions, white feminists, language, mental health, identity, white ancestor guilt, ""Have We Got a Theory for You"" Side 2: importance of love, poetry, Companeras: Latina Lesbians book, reading poetry in Spanish, mestiza consciousness, rape, violence, ""Butch/Femme: Sexual Courage in the 1950s"" article, sign language interpretation, deaf community, disability, Living the Spirit: A Gay American Indian Anthology, working with men, parents becoming accepting of gay children, otherness, whether activism is worth it, self-love, Asian lesbian invisibility, crying, coming out, acknowledging your own racism, false victim/abuser division","""Lesbian Alliances: Combatting Heterosexism in the 80's"", 15th Plenary/10th Annual National Women's Studies Association Convention: Tape 2 of 2"
SPW 1510,September 1985,"Side 1: funding request, gay archives, newsletters, outreach, San Francisco, gay and lesbian printing, Organizing an Archive manual, Canadian Gay Archives (today Canadian Lesbian and Gay Archives), sliding scale, San Francisco Bay Area Gay and Lesbian Historical Society (today GLBT Historical Society), information request, personal collecting, computers, microfiche, slide shows, history, research issues, Before Stonewall film, ethical issues, early gay history, betrayal, plagiarism, lawsuits, The Body Politic book, labor ownership, compesnation, community ethics and assumptions, history as political, public domain, raw material versus history, volunteer versus paid work, World War Two, trust, contracts, whistleblowing, agreements, Corporation for Public Broadcasting, grant proposal, book proposal, Heterodoxy Club, Harlem, Beatniks, homophile organizations, Village Voice, Gay Community News, Bay Area Lawyers for the ARts, underpaid, extortion, class, LHA, butch/femme in 1950s, fundraiser, power struggles, The Ladder, credit for photographs, in-fighting, PBS standards for documentaries, censorship of history, process of creating slide shows, reflexivity, interviewee collaboration, The Times of Harvey Milk film (as good example over Before Stonewall), legacy of films Side 2: critiques of film, lack of passion, creative isolation, changes in gay history, archives fees and access, commercialization of the movement, safeguarding against exploitation, anthropology ethics, granting agencies, academia","""Gay Archiving Before Stonewall"", Sex and the State Conference"
SPW 1511,"Side 1: 4/9/78
Side 2: 11/25/78","Side 1: Virginia, gay rights, lifestyle, live and let live, politics, Democrats, D.C. Human Rights commission, Gay Rights Association of Virginia, human rights law - proposed amendment to remove sexual orientation, comparison between sexual orientation and religion, sodomy laws, public sex solicitation, comparison between sexual orientation and race, gay identity, role models, referendum, Virginia Coalition for Lesbian and Gay Rights Side 2: Kameny cont.: gays as criminals, freedom, privacy, molestation and sexual assault statutes, housing and job discrimination, women and gay people in government St. Paul news: St. Paul, Minnesota, repeal of gay rights ordinance, gay man running for city council Dr. Voeller: National Gay Taskforce, Public Opinion magazine, Dade County ordinance, Wichita ordinance & Eugene ordinance (gay rights, repealed), religious fundamentalism, liberal versus conservative cities, polls, Equal Rights Amendment, tolerance, fear of the gay movement, traditional values, difference between results of opinion polls and voting, comparison of gay rights to women and racial minorities, feminism, protests, stereotypes, lack of representation in media, The Jeffersons television show, gay teachers recruiting, Nazis, civil rights hearings","Side 1: Frank Kameny on gay rights on ""Perspective""
Side 2: Kameny cont., St. Paul Ordinance Repeal on 6pm & 11pm news, Dr. Bruce Voeller on gay rights on ""Panorama"""
, 5/30/78,,
SPW 1512,"Side 1: 10/22/80
Side 2: 2/9/76","Side 1: ignorant questions, everyone knows a gay person, SAGE, minority versus lifestyle, should we vote on gay rights, coming out, generational change, depression, self-acceptance, pride, homophobia, survival, marriage, children, grandchildren, writing, difficulty of being in the closet, research about benefits of being out, therapy, straight marriages, sex, everyone is bisexual, gay people being like car salesmen, sex research, gay relationships not lasting, invisibility of older gay couples, Daughters of Bilitis, Mattachine Society, pre-Stonewall movement, raid of CRH dance at California Hall in 1965, ageism, gay history, divorce, pressures on gay relationships, sin, Jesus, discomfort with hearing older and gay people talk about sex, gender roles, masculinity, violence against women, spousal abuse, repressed homosexuality, choice versus born this way, social services, special rights versus equal rights, stereotype of gays as unhappy, public sex solicitation as coping with the closet, fear of difference, hospital visitation rights Side 2: Risher and Foreman: ignorant questions, parental rights, custody battle, children, mental health, straight marriage, divorce, gay people shouldn't be on television, jury versus judge trial, causes of homosexuality, man and woman roles in gay relationship, visitation rights with children, child support, sexism Noble: Massachusetts state legislature, march, Women's Equality Day, women in government, feminism, development of feminist movement, politics, feminism dealing with issues of abortion, rape, and gay rights, being out in politics, lifestyle, not wanting to be a role model Hour Magazine: straight marriage, separation, therapy, mental health, being a mother, small town, homosexuality as illness, custody battle, family court, trial postponement, appeal, definition of homophobia, research on effect of gay parents on children, negotiated cases, growth of gay rights movement","Side 1: ""Gay Senior Citizens"" on The Phil Donahue Show
Side 2: Mary Jo Risher and Ann Foreman on The Phil Donahue Show, Elaine Noble interview, Lesbian Mother on Hour Magazine show"
, 4/15/77,,
, 11/25/80,,
SPW 1513,,"funeral, death, Isaaca's generous and caring personality, women's network, family, Passover seder, Jewish, lover, love, Gay Women's Alternative, mail readings, comedy, fantasies, grief, isolation of being closeted, community, illness, hospital, memory",Memorial for Isaaca Siegel: Tape 2 of 2
SPW 1514,1989-05-22T00:00:00Z,"Side 1: biography, parents, Hungary, farm, boarding school, Judaism, deafness, sign language, tailor (by hand and in factory), World War Two, concentration camp, Holocaust, death, Dochow camp, Auschwitz camp, rabbi, Budapest, Jewish ghetto, death camps, grief, Debrecen, love, dating, marriage, difficulty with immigration, illness, escape plan, 1956 Hungarian Revolution, move to Israel, low wages, childhood, illegal abortion and resulting death, bullying, guilt, cooking, beach, deaf community, Helen Keller Center in Tel Aviv Side 2: school, friends, first knew she was a lesbian, vacation, crushes, dating, Israeli army, books, arguing, beating as punishment, movies","Oral History with Gabi, Tape 1 of ?"
SPW 1515,1981-03-26T00:00:00Z,"Upcoming Events: Woman News, Village Voice, Gay Women's Alternative D.C., Ethical Society, Unitarian Universalists, International Women's Writing Guild writing conference, job opening, Project Return (drug addiction), Women's World Outdoor Adventure, Nontraditional Employment for Women, New York Book Fair, LHA At-Home, NOW Brooklyn chapter open meeting on homophobia, Barnard lesbian activists dance, lesbian artists reading, Money for Women (grants) benefit, Brooklyn Women's Matrial Arts Center, feminist comedy, NYU Women's Center, The Dozens film, Bondwood retreat, women's seder, Feminist Writers Guild, psychology of making money, energy program Side 1: Ms. magazine, writing, Sisterhood is Powerful book, Anatomy of Freedom book, international feminism, lesbian rights, conservatism, International Women's Year, International Women's Decade, United Nations, Second World Conference on Women in Copenhagen, networking, samizdat (underground Soviet publishing), Soviet Union, political exile, KGB, less racism in women's movement, Palestine/Israel, diplomacy, NOW lesbian purges, Soviet prison camps, Soviet gay male underground bars, asylums, cliterodectomy, Islamic fundamentalism, stoning of women, sex trafficking, culture issues, judgement, colonization, imperialism, need to support native feminists instead of take over, cultural education, definition of family Side 2: feminist protestors being labeled as lesbians, straight allies, European parliament, letter writing campaign, political arrest, Mexican feminist magazine, abduction, sociology, assassination attempt, Soviet gulag, veiling, dowry murders, differences between countries on a continent or areas in a country, body language, translation, consciousness raising, Isis magazine, Iran, International Women's Day, Committee for Intellectual and Artistic Freedom in Iran (CIAFI), shah, crimes, torture, people being disappeared, free speech, student dissidents, Tudeh communist party, veil, Tehran University, protest march, demonstrations, police attacks, democracy, Brazil, regime, National Front of Feminist Women, theater, sex workers","Gay Women's Alternative - International Feminism, Iran, Brazil"
SPW 1516,,"Side 1: announcements - dance benefit for Womanbooks, need volunteers for coffee house, LHA volunteer night, Lesbian Mothers and Co-Mothers group and process of creation, mothering a new girlfriend's child, becoming a co-parent, changing opinion on children, lack of friends or community because of child, Dykes with Tykes group, Womannews, artificial insemination, adoption, straight marriage, not being able to control how your child grows up, respecting children as people, not taking family relationships for granted, homophobia, Jewish, working class, arguments, family, childhood, education, social pressure to have children (from straight and lesbian worlds), Ph.D., coming out, not wanting a co-parent, power dynamics in family, tendency to control children to try and protect them, make-up as anti-feminist, noise during sex, embarrassment over lesbian mother, being out, marijuana, having a man in home space, romanticization of motherhood, Choosing Children documentary, thought film only showed positive aspects and only showed women as mothers, feminism, parenting choices, reading of high school feminist newspaper article on homophobia against her lesbian mother and why it exists, reading of poem about her lesbian mother Side 2: gay conversion, man-hating lesbian stereotype, needing a male role model, radio talk show, giving up children, possibility of having male children, abortion, illness, pregnancy, 'community baby', alternative families, having friends co-parent together, whether to have sperm donor involved, lesbian prenatal group, Village Voice, co-parenting styles, division of household labor, marginalization of non-biological parent, therapy, break-ups, gay men as sperm donors for lesbians, AIDS, death, children as stress on relationship, mothers expected to be martyrs, needing own space",LHA At-Home: Lesbian Mothers discussion
SPW 1517,1983-06-25T00:00:00Z,"casual or recreational sex, women needing love to have sex, societal standards, gender roles, therapy, lack of sex or intimacy, patriarchal model, orgasm, women not being used to talking openly about sex, sexuality research, pre-orgasmic group workshops, sexual dysfunction (no orgasm) versus sexual concerns, age differences in relationships, the closet, dildos, sexuality labels, intergenerational issues in relationships, ageism","""Female Sexuality"" at National Association of Lesbian and Gay Gerontology (NALGG)'s Second National Conference on Lesbian and Gay Aging: Tape 1 of ?"
SPW 1518,6/25/83 (possibly),"dating someone with children, accents, communication, hearing, American Sign Language (ASL), sign language, deafness, deaf people as ignored in society, thinking she was straight, community, affirmative action for mental health disciplines, internalized sexism and homophobia in work, social worker, Boston mayoral elections, politics, needing people to come out often, public speaking, Pacific Center, Berkeley, women who can't be out should support others with time or money, organizations, clinician, sexuality labels - lesbian, gay woman, or homosexual, gay and homosexual as male terms, lack of common name, West Coast Lesbian Collections (today June L. Mazer Lesbian Archives)","""Female Sexuality"" at National Association of Lesbian and Gay Gerontology (NALGG)'s Second National Conference on Lesbian and Gay Aging: Tape 2 (?) of ?"
SPW 1519,1990-11-19T00:00:00Z,"Side 1: AIDS, science, activism, HIV, women and HIV, ACT UP, government, statistics, lack of trust in CDC, peer education, Life Force: Women Fighting AIDS organization, diagnosis, different symptoms for women, gynecological symptoms, different symptoms for IV drug users, lack of studying of people of color and AIDS, failures of CDC, changes CDC should make, definition of AIDS, D.C. conference on perinatal HIV transmission and testing, medical research, AIDS treatment, frustrations with homophobia and sexism, diseases which accompany AIDS, New Jersey Women's AIDS Network, bibliography of womena and AIDS research, gay movement as leading to identification of AIDS, drug users who first had AIDS being ignored, Max AIDS study, still not knowing enough about AIDS causes, Spectrum disease study, clinics, HIV Surveillance Report, preventative care, AIDS testing, AIDS clinical trial groups (ACTG), National Institute of Allergies and Infectious Diseases (NAIAD), Michigan Womyn's Music Festival, fetuses, right to have children with HIV, education about AIDS, false appearances of decrease in rate of AIDS, POC and working class mistrust of medical system Side 2: CDC responding to ACT-UP critiques: sorry for mistakes, definitely not homophobic, they're trying, CDC conference on drugs and HIV, United nations, definition of AIDS needs to capture most severe symptoms, AIDS databases, CDC (not) responding to falsely reported information in media, research studies, finding out causes of death for AIDS victims, regular doctor ignorance about AIDS, public health clinics, symptoms list, needing more proof for women to be diagnosed, Human Health Services, lack of women in research studies, scope of epidemic",Meeting between ACT UP and CDC about changing the definition of AIDS: Tape 1 of 2
SPW 1520,,"ACT UP, CDC, AIDS, definition of AIDS, FDA, clinics, lack of funding, vaginal candidiasis, gynological diseases, need for education, Spectrum disease data, statistics, lack of women in studies, opportunistic infections, sexism, double standards, different symptoms for women, undercount of women with AIDS, PID, medical abuses of women",Meeting between ACT UP and CDC about changing the definition of AIDS: Tape 2 of 2
SPW 1521,1990-07-27T00:00:00Z,"Side 1: waiting for Tony Fauci to arrive, argument over whether ACT UP can video tape their presentation portion, Women, AIDS, and Activism: ACT UP NY book, format of meeting, sexism, NIH, NIAID, Division of AIDS, different symptoms of women with AIDS, lack of data on women with AIDS, activist history, ACT UP NY women's caucus, lack of women in clinical trials, ACTG (AIDS clinical trial groups), actions, demonstrations, visibility, FDA, sit-ins, changing CDC definition, safer sex, The Myth of Heterosexual AIDS book, lack of awareness of risk, demanding a women and AIDS committee, zap at International AIDS conference, multiple demands to get this meeting, GAO study, invisibility of women, women are diagnosed less and die more, statistics, clinics, gynocological diseases, research, vaginal candidiasis, condoms, studies that are needed, reasons women don't trust doctors, losing custody of children because of AIDS status, needle exchange programs, IV drug users, sex education, guilt about sex for women, vertical versus horizontal transmission, lack of information about lesbians, Side 2: demands, women and AIDS conference, women in studies, criteria in funding of studies (outreach, health care, child care, cannot require birth control), New Jersey Women and AIDS Network, NIAID says ACT UP doesn't know science, are incorrect, bringing up issues outside their domain, we have studies but didn't tell you, need some ground rules, we had a relationship with the men of ACT UP NY so why don't you trust us",Meeting between ACT UP and NIAID on women and HIV/AIDS
SPW 1523,December 1990 (2nd day of conference),"Side 1: conference announcements, biological research, medical treatment, education, prevention, immunology, research, vaccines, cures, how HIV interacts with the immune system, NIH, NIAID, T cells, PCP, perinatal transmission, statistics, risk, syphilis, drugs Side 2: Brown University AIDS program, endocrine system, hormones, lack of studies on women, drug recovery, sobriety, prejudice against recovering addicts, menstrual disorders, opportunistic infections, Life Force: Women Fighting AIDS group, definition of AIDS, double standard, access to services, need more studies, Strecher report, government witholding information on women and AIDS, gynocological care, Pap smears (once versus twice a year), National Cancer Institute, clinical trials, unity statement (read out loud in unison, request for signatures), personal stories and questions, AZT, DDI","""Pathogenesis, Clinical Manifestations and Therapeutics"" Plenary, First National Conference on Women and HIV, ACT UP action: Tape 2 of 3"
SPW 1524,,"Side 1: NIH office of research on women's health, 1983 NIH report on women's health issues, plan on women's health to be sent to the Congressional caucus on women's issues, expand research on diseases that affect women differently, funding appropriations, grant applications, coordinating with women's groups, clinical trials, women with AIDS not reflected in statistics because of definition, working on NIH conferences, women being kept out of research due to pregnancy, medical ethics, women in prison, perinatology, mental health, prejudice in medical system, slides, women getting AIDS not being new but ignored, Margaret Sanger racism, Planned Parenthood, OB-GYNs, Howard University (culturally sensitive medical school curriculum), Textbook of Gynecology by Novak, Jones and Jones, PID - stereotypes about women of color being promiscuous lead to biased diagnoses, lack of money for health care Side 2: Medicaid, healthcare as a right not a privilege, community researchers, low HIV referrals, observational database, AIDS clinical trial groups (ACTGs), abortion, colposcopy (doctors won't perform for an HIV+ woman), Kemron AIDS drug and whether it's effective, nurses, midwives, need for more midwives, access to care, Center for Women Policy Studies conference resolution about women and AIDS legislation (had raise of hands for support), medical school curriculum issues, PWA (person with AIDS), questionnaire for conference participants gathering data on women with AIDS, homeless, misdiagnosis and medical mistreatment, ACT UP, medical isolation, surgery delays due to discrimination, nurses fighting for informed consent and universal healthcare, angry activism, HIV risk, May 1990 NIH ACT UP action, action at 6th International Conference on AIDS in San Francisco, lack of women in ACTGs, demanding a NIAID women's committee, ACT UP fact sheet, NIH meeting with demands, formation of this conference, government screening of the conference speakers, Spectrum disease study, focus on women as vectors of disease, right for women with HIV to have children, lesbian invisibility","""Pathogenesis, Clinical Manifestations, and Therapeutics"" Plenary, First National Conference on Women and HIV, ACT UP action: Tape 3 of 3"
SPW 1525,1997-01-01T00:00:00Z,"Side 1: Ladies Professional Golf Associatino (LPGA), Dinah Shore, golf, coming out, traveling, New York City, New Jersey, Midwest, driving, relationship, Seattle, coffee, shopping, Los Angeles, lesbian representation on television, acting audition, Ikea, butch, penis, The Big Valley television show, butch/femme, Provincetown, bugs, spiders, pets, dogs, cats, chores, division of household labor, laundry, Middle East conflicts, newspaper interview, S&M, straight audiences, shock radio, homophobia, born-again Christians, gay pride, gay newspapers, purses, bars, tampons, menstruation, douching, vaginal odor, cunnilingus, sex, differences in communication, lesbians all dating each other, Olivia cruises, the closet, gay recruiting, Amish, Hasidic Jews, PFLAG, Phil Donahue show, Tourette's, Satan Side 2: vegetarian, arguments, slang for genitalia (pussy, snatch), family, lube, celebrity stalking, The Advocate magazine, HBO special, Martina's retirement, Madison Square Gardens concert, long distance phone call, dildos, erotic toy store, vibrator, shower sex, sex in movies, orgasms, faking orgasms, dirty talk, cyber sex, bondage, screaming during sex, being out at work",Nothing In My Closet But Clothes (comedy)
SPW 1526,May 1982,"Side 1: petition, meeting agenda, phone calls to Barnard Women's Center, Barnard Faculty, and Barnard alums, sado-masochism (S&M), feminist sex wars, sexual deviance, perversion, anti-porn, butch/femme as deviant, Take Back the Night, picketing, threats, Ms. magazine, alternative families, American Writers Conference leaflet against Amber Hollibaugh, Heresies sex issue, feminist theory, slide shows, butch/femme as reproducing the patriarchy, Women Against Pornography (WAP), Women Against Violence in Pornography and Media (WAVPM), lesbian-feminists, LHA, 1978 WAP conference, WAP feminist tours of porn districts, WAP picketing sexual films, Samois group, meeting between Samois and WAP, WAP's forum on S&M and the women's community, A Woman's Place bookstore, canvassing, funding Side 2: size of WAVPM's membership, members mostly straight and not otherwise involved in feminism, social purity movement, grant money, Clean Up Times Square drive, WAVPM at LHA At-Home, Playboy magazine, letter writing campaign, diversity at conference, WAP slide show at LHA, anti-porn conference, propaganda, Sinister Wisdom journal, possibility of infiltrating WAP, WAP's hierarchy, Womannews, 1980 International Gay and Lesbian Film Festival in San Francisco - WAVPM screened the films for sexual content, photography conference picketed by WAP, ""Taling Sex"" article, Socialist Review, Off Our Backs, community education, coming out as pro-sex","Planning Meeting to draft letter of protest in response to the attack on the Barnard College Scholar and the Feminist Conference IX, ""Towards a Politics of Sexuality"": Tape 1 of 3"
SPW 1527,,"Side 1: feminist sex wars, Women Against Pornography (WAP), Women Against Violence in Pornography and Media (WAVPM), anti-porn, S&M, plan of action against WAP, denunciation letter, gossip, women's movement, off our backs, butch/femme cartoon in off our backs with Joan Nestle's article, how to react to accusation that conference was all about S&M, Womannews, Gay Community News, New York Native, positive and negative media coverage, reading of draft of letter, Barnard Women's Center, sexuality, subjects of workshops, ""Coalition for a Feminist Sexuality and Against Sadomasochism"" WAP coalition, New York Radical Feminists, Samois, Lesbian Sex Mafia, S&M being equated with violence against women, No More Nice Girls abortion rights group, debate over draft of letter, definition of politically incorrect sex Side 2: strategy of addressing WAP's leaflet line by line or in general, NOW lesbian resolution, female sexual repression, McCarthyism, Diary of a Conference on Sexuality, Barnard being scared for their reputation, should they also attack Barnard in the letter, Village Voice","Planning Meeting to draft letter of protest in response to the attack on the Barnard College Scholar and the Feminist Conference IX, ""Towards a Politics of Sexuality"": Tape 2 of 3"
